row_index,name,website,AI_Status,AI_Confidence,AI_Evidence,AI_Checked_At
37,MilTreats Inc.,https://www.MilTreats.com,Active,90,"Website miltreats.com is fully operational with product pages, shopping cart, team pages, and recent LinkedIn activity showing 2023-2024 updates including holiday posts and trade show announcements. Company maintains listed address in Lakeside, CA with contact info.",2026-03-05 14:28:03
38,Mutt's Sauce,https://www.muttssauce.com/,Active,90,Website is live and current; multiple recent media appearances in 2024-2025; product sold in major retailers including Kroger; active social media and business operations confirmed through recent news coverage.,2026-03-05 14:28:20
39,Popcorn Friday,https://popcornfriday.com/,Active,92,"Website is live with functional e-commerce, multiple business listings show current hours (Mon-Sat 11am-7pm), Yelp shows 5-star rating with recent reviews, BBB profile is active, phone number operational (830-885-2446)",2026-03-05 14:28:36
40,Pretty Thai Specialty Sauces,https://www.prettythaibrand.com,Active,92,"Website is fully functional with live product listings, e-commerce capability, and recent media coverage from December 2024. Amazon features their Thai Peanut Sauce as top-selling. Yelp listing updated February 2026.",2026-03-05 14:29:05
41,Rakkasan Tea Company,https://www.rakkasantea.com,Active,92,"Website is live with functional e-commerce, social media active with recent posts, physical location at 3002 Commerce Street Dallas with posted hours, product reviews, and Instagram presence with 1,894 followers.",2026-03-05 14:29:27
42,RecPak,https://www.recpak.co/,Active,92,"Website recpak.co is live and fully functional with active product listings, e-commerce functionality, and recent customer testimonials. Company is located at 855 South Curson Avenue, Los Angeles, CA 90036. Active social media presence on Instagram (15K followers) and maintained business pages. Recent content and product pages indicate ongoing operations.",2026-03-05 14:29:39
43,Rumi Spice,https://www.rumispice.com,Active,95,"Website is live with current content including recent blog posts. Company has 9-10 employees based in Chicago per multiple business databases. LinkedIn shows activity 8 months ago. Website displays active e-commerce with product catalog, store locator showing distribution in Whole Foods nationwide, and ongoing business operations.",2026-03-05 14:30:14
44,Savannah Sauce Company,https://WWW.SAVANNAHSAUCECOMPANY.COM,Active,92,"Website is live and fully functional with active product catalog and e-commerce platform. Listed in current Yelp (updated January 2026), Yellow Pages, and Google with verified address in Pooler, GA (463 Pooler Parkway). Phone numbers are active. Business maintains current listings on Savannah Chamber, Visit Savannah, and Georgia Grown. No closure indicators found.",2026-03-05 14:30:50
45,Savor the Flavor,https://savortheflavorsc.com,Active,92,"Website is functional with active shopping cart, multiple web pages, contact information, FAQ, and regular business hours listed on Yellow Pages showing 8:00 am - 10:00 pm. Phone number (803) 773-2684 and email info@savortheflavorsc.com are available. Business is listed as active on multiple directories.",2026-03-05 14:31:16
46,Sh' That's Hot Hot Sauce,https://www.shthatshot.com/,Uncertain,0,No text response from model.,2026-03-05 14:31:30
47,Soldier Boy Beef Jerkey,https://sbjerky.com/,Active,90,"Website is live and functional with product pages, company accepts payments online, product is available in multiple retail locations including Mr Kegs Liquor and Uber Eats, listed on current Yelp directory updated 2025, and company has active social media presence.",2026-03-05 14:31:42
48,Strike Force Beverage,https://www.strikeforceenergy.com/?rfsn=3124807.ab32864&utm_source=refersion&utm_medium=influencers&utm_campaign=3124807.ab32864,Active,92,"Website is fully functional with product listings and pricing current as of 2025. Company maintains active business registration in Florida with status listed as active. Products available on Amazon with recent sales. Multiple business directories show current contact information and 2025 revenue data. Social media presence maintained on LinkedIn, Facebook, and Twitter.",2026-03-05 14:32:02
49,Sweet Melao LLC,https://sweetmelao.com/,Active,92,"Website is live with current 2025 copyright, registered federal contractor with active certification, staff responding to inquiries in July 2024, listed on veteran business directory with current operating hours (Monday-Saturday 8am-5pm), and business activities documented through multiple recent sources.",2026-03-05 14:32:34
50,TGS Signature BBQ Sauce,https://tgssignaturebbqsauce.com/,Active,90,"Website is live with functional shop pages, active contact information, product listings on Walmart, and valid business address in Coral Springs.",2026-03-05 14:33:01
51,The General's Hot Sauce,https://www.generalshotsauce.com/,Uncertain,0,No text response from model.,2026-03-05 14:33:19
52,The Marion Chocolate Shop,https://www.themarionchocolateshop.com,Active,95,Website is live and fully functional. Yelp listing updated October 2025 with current hours. Recent news articles from July 2024 confirm new location at 1060 7th Ave. Multiple positive customer reviews and active inventory. Phone number listed as (319) 377-7597.,2026-03-05 14:33:31
53,The Skirted Soldier,https://www.skirtedsoldier.com,Active,90,"Website is fully functional with e-commerce, multiple pages, active contact information, Instagram account with 1,963 followers, listed on multiple business directories, verified address in Portage PA, and products available in over 200 locations across 37 states.",2026-03-05 14:33:48
54,"The Spicy Spouse, LLC",https://the-spicy-spouse.square.site/,Active,90,Website is live and functional with active product listings and e-commerce capability. Listed on The Knot and WeddingWire with current business information. Social media presence on Instagram. Recent posts on Food Beverage Guide directory showing ongoing operations and holiday fair schedules.,2026-03-05 14:34:07
55,Tobacco Barn Distillery,https://tobaccobarndistillery.com/,Active,95,"Website is live and actively maintained (updated November 30, 2025). Yelp listing shows current hours (Sat-Sun 11am-4pm). Multiple recent web pages reflect ongoing business operations, events, and product sales.",2026-03-05 14:34:26
56,True Pop Popcorn,https://dallaspopcorn.com/,Active,90,"Website dallaspopcorn.com is fully functional with active product listings, customer reviews, multiple product pages, inventory statuses, pricing, and active Instagram presence with 775 followers. Company has recent activity and maintains operational e-commerce operations.",2026-03-05 14:34:54
57,VeteransQ,https://veteransq.com/,Active,72,"Website is operational with active product pages, promotional codes, and recent e-commerce activity documented in February 2025 with $959 in revenue and customer transactions.",2026-03-05 14:35:30
58,W.D. Dickinson,https://www.wddickinson.com/,Active,90,"Website wddickinson.com is live and functional with current pages including CSA subscriptions, gardens, mercantile shop, and event booking. Yelp listing updated November 2025 with contact information and services. CCOF directory listing updated December 23, 2025 confirming current operations. Business is listed in recent Yelp farm rankings for National City (January 2026).",2026-03-05 14:36:04
59,"We Are Wonderfully Made, LLC",https://wearewonderfullymade.com,Active,90,"Website is fully functional with e-commerce capabilities, recent CEO messaging, active social media presence, and participation in Downtown Metuchen events in 2024. Business listed in multiple current business directories.",2026-03-05 14:36:28
60,Willy Pete's Chocolate Co.,https://willypeteschocolates.com/,Uncertain,0,No text response from model.,2026-03-05 14:36:54
61,"Young G's Barbeque Sauce, LLC",https://YGSBBQ.COM,Active,90,"Website YGSBBQ.COM is live and functional with product ordering pages. Yellow Pages shows business as OPEN NOW with current hours 7am-7pm. Multiple business directories confirm active operations with valid contact information (515-331-8001). Product is currently sold in Iowa, Nebraska, and Minnesota stores including Hy-Vee.",2026-03-05 14:37:07
62,Aloha Island Wear,https://www.etsy.com/shop/AlohaIslandWear,Active,90,"Etsy shop is live and operational. Website displays current products, policies, and shop description. Owner Carmen is actively managing the shop with recent product listings and detailed shop information. Shop was established in 2023 and located in Idaho.",2026-03-05 14:37:27
63,Amor Umbrella,https://amorumbrella.com/,Active,90,"Website is live and regularly updated (July 2025), social media present, Google reviews recent (January 2026), business listed on BBB and Birdeye, multiple content pages with recent dates.",2026-03-05 14:37:53
64,B5 ReAffirm,https://www.PamalaMcCoy.com,Active,78,Website PamalaMcCoy.com is live with current content about B5 ReAffirm program. Pamala McCoy is listed as CEO/Founder of B5 ReAffirm (launched 2020) on multiple professional profiles including LinkedIn and FPP Coalition. Recent LinkedIn activity from Pamala McCoy shows active engagement as of 2024-2025. Website contains product listings and seminars information.,2026-03-05 14:38:24
65,Blanco Cigars,https://blancocigars.com/,Active,92,"Website is fully functional with current product listings, pricing, and shopping functionality. Yelp listing updated May 2025 shows store hours (Mon-Fri 9am-5pm). Florida corporate registration shows ACTIVE status. Phone number (727) 535-1639 is listed and accessible. Seminole location at 10860 76th Ct N Ste A confirmed across multiple sources.",2026-03-05 14:38:55
66,Blissful Home Candy,https://www.etsy.com/shop/Blissfulhomecandy,Active,78,"Etsy shop is live with products listed and active Instagram account with recent activity. Based in Maryland with 2,056 Instagram followers. Last Etsy product listing from 2022 with inventory appearing available.",2026-03-05 14:39:25
67,"BOSS Paper Company, LLC",https://www.bosspapercompany.com,Active,95,"Website is fully functional with active ecommerce, recent customer reviews (October 2024), active social media presence, in-store events in Acworth, and recent business engagement on Alignable platform. No closure indicators found.",2026-03-05 14:39:50
68,Bottle Breacher,https://bottlebreacher.com/,Active,92,"Website bottlebreacher.com is fully operational with recent product pages updated in 2025, displaying active inventory and customer reviews from March 2025. Multiple business databases show current operations with 20 employees. Company staff pages updated May 2024. Recent press coverage from November 2023 confirms operational status.",2026-03-05 14:40:16
69,"Winglore Spirits, Inc.",https://www.winglorespirits.com,Active,95,"Website is live and fully operational with recent content dated November 2025. E-commerce platform actively selling products. Social media active with 9,254 Instagram followers. Company headquarters confirmed in Lynchburg, VA with 4 employees. Recently secured $605K seed funding in February 2025. Multiple product offerings available for purchase with active shipping to 34+ states.",2026-03-05 14:40:59
70,BoxOps,https://BoxOps.etsy.com,Uncertain,0,"Parse error: Based on my search results, I found strong evidence that BoxOps is actively operating:

- The Etsy s",2026-03-05 14:41:28
71,Busy Baby,https://www.busybaby.com,Active,88,"Business still operating as of December 2025 with warehouse in Zumbrota. Multiple active sales channels including Walmart, Target, and direct e-commerce. Website operational at busybabymat.com. However, significant financial challenges from tariffs reported.",2026-03-05 14:41:53
72,Cater to Mom,https://catertomom.com/,Uncertain,0,"Parse error: Based on my web search findings, I have confirmed that Cater to Mom in Pflugerville, Texas is active",2026-03-05 14:42:29
73,Crew Bottle Co.,https://crewbottleco.com/,Uncertain,0,No text response from model.,2026-03-05 14:42:59
74,Daddy Dolls,https://daddydolls.com/,Active,75,Website daddydolls.com is live and operational. Customer reviews indicate ongoing operations. Website shows recent activity with functioning product pages and customer testimonials. Company is actively taking orders via email during website construction.,2026-03-05 14:43:11
75,Dirt Poor Designs,https://www.dirtpoordesigns.com/product/holiday-package/97?,Active,90,"Website dirtpoordesigns.com is live and operational with active product pages. Recent event listing shows Holiday Pop-Up scheduled for November 2025 in Emporia, KS. Contact page is available for inquiries.",2026-03-05 14:43:22
76,Dreadnought Designs LLC.,https://www.etsy.com/shop/dreadnoughtllc/,Uncertain,60,"Etsy shop exists and is accessible at https://www.etsy.com/shop/dreadnoughtllc/ with a posted notice stating the business is taking time off to spend time with family, expressing intent to return. Shop has recent positive reviews but currently unclear if temporary hiatus or permanent closure.",2026-03-05 15:07:54
77,Flags of Valor,https://www.flagsofvalor.com/,Active,95,"Website flagsofvalor.com is fully functional with live product listings, shopping cart, and recent customer reviews. LinkedIn shows activity from 2 months ago. Company has 10 years in business, employs 11-50 veterans. Multiple recent sources confirm active operations in Virginia.",2026-03-05 15:08:07
78,Funky Chunky,https://funkychunky.com/,Active,95,Website funkychunky.com is live with current 2025 copyright. Yelp listing updated December 2025 shows operating hours. Multiple business databases list current contact info and operations. BBB reports 31 years in business.,2026-03-05 15:08:18
79,Junior's Bullet Pens,https://www.juniorsbulletpens.com/,Active,92,"Website is operational with functional shop, contact pages, and FAQ sections. Company listed at 8415 S Wildcat St, Highlands Ranch, CO 80126 with phone (720) 234-3166. Recent business listings show company 'present' status with active staff. Products available for purchase through official website and retail partners.",2026-03-05 15:08:30
80,K9 Salute,https://www.k9salute.com/,Active,95,"Website is live and fully functional with product pages, customer reviews, and recent LinkedIn activity. Company Instagram shows 968 posts with active engagement. Multiple current business listings confirm operations.",2026-03-05 15:08:48
81,"Maiden Montana Pet Treats, LLC",https://www.maidenmtpettreats.com,Uncertain,0,No text response from model.,2026-03-05 15:09:17
82,Manly Man Co.,https://manlymanco.com,Active,95,"Website is fully functional with active e-commerce operations, recent press releases from January 2025, Etsy shop with activity through February 2026, active Instagram account with 35K followers, Walmart seller account active, and recent job postings for Vista headquarters.",2026-03-05 15:09:29
83,Motivated by Kelly,https://www.motivatedbykelly.com,Active,88,Website is live and accessible with recent content dated August 2025. About page shows active business information for Kelly Foster's coaching and training services. Instagram account exists. Contact email is functional. Website shows current programs and services.,2026-03-05 15:09:47
84,Natures Wellspring LLC,https://natureswellspring.com/,Active,90,"Website is live and functional with recent seasonal content (mentions spring/summer plants), Yelp listing shows open 7 days/week with phone number and hours, Google search results from October 2025 list business as operating, business listed on multiple active directories, social media presence maintained on Facebook, and veteran-owned business registration current.",2026-03-05 15:11:05
85,Reflections of Service,https://www.reflectionsofservice.com/,Uncertain,45,"Website is live and operational with multiple product pages, but no clear signs of recent activity, current contact information, or location confirmation for Camden, NY found in search results.",2026-03-05 15:11:19
